Steps,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Policy/Entropy,Policy/Learning Rate
6300,0.5100213,167.77777777777777,167.77777777777777,3.0,1.4189782,0.00020199995
7000,None,None,None,None,None,None
7700,None,None,None,None,1.4189782,0.00020194371
8400,None,None,None,None,None,None
9100,None,None,None,None,1.4189782,0.00020188745
9800,None,None,None,None,None,None
10500,None,None,None,None,None,None
11200,None,None,None,None,1.4189782,0.00020183121
11900,None,None,None,None,None,None
12600,0.43153083,77.77777777777777,77.77777777777777,3.0,1.4189782,0.00020177495
13300,None,None,None,None,None,None
14000,None,None,None,None,1.4189782,0.00020171869
14700,None,None,None,None,None,None
15400,None,None,None,None,1.4189782,0.00020166245
16100,None,None,None,None,None,None
16800,None,None,None,None,1.4189782,0.0002016062
17500,None,None,None,None,None,None
18200,0.51088196,90.0,90.0,3.0,1.4189782,0.00020154996
18900,None,None,None,None,None,None
19600,None,None,None,None,1.4189782,0.0002014937
20300,None,None,None,None,None,None
21000,None,None,None,None,None,None
21700,None,None,None,None,1.4189782,0.00020143745
22400,None,None,None,None,None,None
23100,None,None,None,None,1.4189782,0.0002013812
23800,None,None,None,None,None,None
24500,0.50771135,104.44444444444444,104.44444444444444,3.0,1.4189782,0.00020132495
25200,None,None,None,None,None,None
25900,None,None,None,None,1.4189782,0.00020126869
26600,None,None,None,None,None,None
27300,None,None,None,None,1.4189782,0.00020121245
28000,None,None,None,None,None,None
28700,None,None,None,None,1.4189782,0.00020115622
29400,None,None,None,None,None,None
30100,0.48613113,95.55555555555556,95.55555555555556,3.0,1.4189782,0.00020109996
30800,None,None,None,None,None,None
31500,None,None,None,None,None,None
32200,None,None,None,None,1.4189782,0.0002010437
32900,None,None,None,None,None,None
33600,None,None,None,None,1.4189782,0.00020098746
34300,None,None,None,None,None,None
35000,None,None,None,None,1.4189782,0.0002009312
35700,None,None,None,None,None,None
36400,0.46060148,41.111111111111114,41.111111111111114,3.0,1.4189782,0.00020087494
37100,None,None,None,None,None,None
37800,None,None,None,None,1.4189782,0.0002008187
38500,None,None,None,None,None,None
39200,None,None,None,None,1.4189782,0.00020076246
39900,None,None,None,None,None,None
40600,None,None,None,None,1.4189782,0.00020070621
41300,None,None,None,None,None,None
42000,0.5583181,101.11111111111111,101.11111111111111,3.0,None,None
42700,None,None,None,None,1.4189782,0.00020064996
43400,None,None,None,None,None,None
44100,None,None,None,None,1.4189782,0.0002005937
44800,None,None,None,None,None,None
45500,None,None,None,None,1.4189782,0.00020053746
46200,None,None,None,None,None,None
46900,None,None,None,None,1.4189782,0.0002004812
47600,None,None,None,None,None,None
48300,0.53517073,71.11111111111111,71.11111111111111,3.0,1.4189782,0.00020042495
49000,None,None,None,None,None,None
49700,None,None,None,None,1.4189782,0.0002003687
50400,None,None,None,None,None,None
51100,None,None,None,None,1.4189782,0.00020031247
51800,None,None,None,None,None,None
52500,None,None,None,None,None,None
53200,None,None,None,None,1.4189782,0.00020025621
53900,None,None,None,None,None,None
54600,0.546415,98.88888888888889,98.88888888888889,3.0,1.4189782,0.00020019995
55300,None,None,None,None,None,None
56000,None,None,None,None,1.4189782,0.0002001437
56700,None,None,None,None,None,None
57400,None,None,None,None,1.4189782,0.00020008745
58100,None,None,None,None,None,None
58800,None,None,None,None,1.4189782,0.0002000312
59500,None,None,None,None,None,None
60200,0.47058386,70.0,70.0,3.0,1.4189782,0.00019997495
60900,None,None,None,None,None,None
61600,None,None,None,None,1.4189782,0.00019991872
62300,None,None,None,None,None,None
63000,None,None,None,None,None,None
63700,None,None,None,None,1.4189782,0.00019986246
64400,None,None,None,None,None,None
65100,None,None,None,None,1.4189782,0.0001998062
65800,None,None,None,None,None,None
66500,0.5584405,111.11111111111111,111.11111111111111,3.0,1.4189782,0.00019974995
67200,None,None,None,None,None,None
67900,None,None,None,None,1.4189782,0.00019969369
68600,None,None,None,None,None,None
69300,None,None,None,None,1.4189782,0.00019963745
70000,None,None,None,None,None,None
70700,None,None,None,None,1.4189782,0.0001995812
71400,None,None,None,None,None,None
